,As_of_Year,Respondent_Name_CR,State,Count,Sum,Median,Percentage,colors
185,2013,FIRST SAVINGS MORTGAGE CORPORA,VA,2410,1044540,400.0,0.03262290885636363,#9310A1
186,2013,FLAGSTAR BANK,DC,50,18854,375.0,0.004197748836401567,#EF7E4E
187,2013,FLAGSTAR BANK,DE,182,42791,227.5,0.019826040865987157,#EF7E4E
188,2013,FLAGSTAR BANK,MD,1916,529037,264.5,0.020789490323326273,#EF7E4E
189,2013,FLAGSTAR BANK,VA,1875,521467,258.0,0.016286375258584042,#EF7E4E
190,2013,FLAGSTAR BANK,WV,368,52663,135.0,0.03137666355062788,#EF7E4E
191,2013,FREEDOM MORTGAGE CORPORATION,DC,72,24862,314.0,0.005535399998441485,#F48A47
192,2013,FREEDOM MORTGAGE CORPORATION,DE,243,53695,214.0,0.02487811138555258,#F48A47
193,2013,FREEDOM MORTGAGE CORPORATION,MD,1383,350423,242.0,0.01377052184926756,#F48A47
194,2013,FREEDOM MORTGAGE CORPORATION,VA,1694,419333,223.0,0.013096542247750713,#F48A47
195,2013,FREEDOM MORTGAGE CORPORATION,WV,146,23572,148.0,0.014044219152258711,#F48A47
196,2013,GEORGE MASON MORTGAGE LLC,DC,644,281434,405.0,0.06265987302555631,#42039D
197,2013,GEORGE MASON MORTGAGE LLC,DE,101,25146,230.0,0.011650712150127668,#42039D
198,2013,GEORGE MASON MORTGAGE LLC,MD,3514,1117357,287.5,0.043908616106625574,#42039D
199,2013,GEORGE MASON MORTGAGE LLC,VA,6399,2300912,334.0,0.07186172139172589,#42039D
200,2013,GEORGE MASON MORTGAGE LLC,WV,38,8283,193.0,0.0049350189732801164,#42039D
201,2013,INTERCOASTAL MORTGAGE COMPANY,DC,120,55664,410.0,0.0123933112988998,#FDB030
202,2013,INTERCOASTAL MORTGAGE COMPANY,DE,2,352,176.0,0.00016308958390379939,#FDB030
203,2013,INTERCOASTAL MORTGAGE COMPANY,MD,122,48077,357.0,0.0018892749018963838,#FDB030
204,2013,INTERCOASTAL MORTGAGE COMPANY,VA,1788,720470,383.0,0.022501605629027425,#FDB030
205,2013,INTERCOASTAL MORTGAGE COMPANY,WV,1,130,130.0,7.74541188610908e-05,#FDB030
206,2013,JPMORGAN CHASE BANK NA,DC,661,241215,226.0,0.0537053137569006,#5E00A5
207,2013,JPMORGAN CHASE BANK NA,DE,1240,206004,147.0,0.0954463256889724,#5E00A5
208,2013,JPMORGAN CHASE BANK NA,MD,6295,1401344,178.0,0.05506841209150084,#5E00A5
209,2013,JPMORGAN CHASE BANK NA,VA,3782,624112,142.5,0.019492167740979588,#5E00A5
210,2013,JPMORGAN CHASE BANK NA,WV,1671,201274,102.0,0.11991923322805531,#5E00A5
211,2013,MCLEAN MORTGAGE CORPORATION,DC,147,63111,400.0,0.014051348616428306,#E46A5D
212,2013,MCLEAN MORTGAGE CORPORATION,MD,334,121413,339.0,0.004771149066371563,#E46A5D
213,2013,MCLEAN MORTGAGE CORPORATION,VA,2977,1083681,349.0,0.033845354407081585,#E46A5D
